timestamp_utc,title,body,article_id,topic,message_id
2026-06-09T17:23:18.056515+00:00,"Artemis III crew: Bresnik commands, Parmitano flies as pilot",NASA named the four astronauts for the 2027 docking rehearsal in low Earth orbit. The landing slips to Artemis IV.,artemis-iii-crew-named-june-9,all,projects/artemis-tracker-665d8/messages/5771117710239470194
2026-06-24T15:58:05.765874+00:00,SpaceX is public: what it changes for Artemis,"An IPO, a $20B bond, and a 35% pullback in two weeks. The Artemis lander program now lives inside a public-market story.",spacex-ipo-artemis-math-june-24,all,projects/artemis-tracker-665d8/messages/8257484629796171635
2026-07-01T21:09:59.688915+00:00,Four new Moon deliveries: what NASA's $600M payload list reveals,"The latest CLPS awards are a quiet bet on dust, navigation, and radiation — the unglamorous essentials of a Moon Base.",moonbase-clps-cadence-july-1,all,projects/artemis-tracker-665d8/messages/4205465144693666715
2026-07-08T20:28:07.000000+00:00,The first Moon Base landing hit a launch-pad problem,"NASA's Endurance lander is passing its tests, but the rocket meant to fly it exploded on the pad. Here's what that does to the timeline.",moon-base-1-endurance-july-8,all,projects/artemis-tracker-665d8/messages/2065362934325299659
2026-07-15T15:56:47.666867+00:00,Artemis III is coming together — watch the heat shield,"Boosters stacked, Orion's heat shield installed. It was redesigned to fix the flaw that damaged Artemis I. Here is what changed.",artemis3-heat-shield-stacks-july-15,all,projects/artemis-tracker-665d8/messages/1555303700348964690
2026-07-17T12:25:37.903611+00:00,Starship aborted at ignition — what it means for Artemis,Four Raptors failed to light and the rocket stopped itself on the pad. Here is what the abort means for the lander NASA is waiting on.,starship-flight-13-pad-abort-july-17,all,projects/artemis-tracker-665d8/messages/7936849194364298594
2026-07-23T11:13:06.634784+00:00,Starship flies tonight — window opens 22:45 UTC,"Third attempt for Flight 13 after last week's pad abort. Booster landing, Ship relight and the first Starlink V3s are all on the line.",starship-flight-13-flies-tonight-july-23,all,projects/artemis-tracker-665d8/messages/7119979016049364897
2026-07-24T01:55:17.935827+00:00,Starship slipped to tonight — 22:45 UTC,Thursday's weather would have ruined the heat-shield imagery SpaceX wants from this flight. Clear skies forecast for tonight's window.,starship-flight-13-weather-slip-july-24,all,projects/artemis-tracker-665d8/messages/2135067885422316271
2026-07-25T07:52:40.632547+00:00,"Starship flew, and survived its splashdown","20 Starlink V3s deployed, the relight worked, and Ship is floating intact in the Indian Ocean. The booster had a rougher evening.",starship-flight-13-results-july-25,all,projects/artemis-tracker-665d8/messages/3342206782958857508
2026-07-28T09:44:48.739941+00:00,The case against a crewed Starship,"Can Starship really carry people? Life support means mass, mass means propellant. We sort the myths from the obstacles NASA is actually tracking.",starship-crew-objection-july-28,all,projects/artemis-tracker-665d8/messages/7200674829871470364
2026-08-05T17:22:05.793827+00:00,Is NASA really losing the moon race?,"Starship flies again this month, the auditors say the lander is a year late, and both countries have published a date. We lined them up.",moon-race-fact-check-august-5,all,projects/artemis-tracker-665d8/messages/5272055053985229923
2026-08-12T13:34:41.717554+00:00,NASA's new Moon Base tech has a troubled past,"Three new lunar demo missions reuse hardware from a station module that never flew, and that NASA's own reviewers gave zero percent odds of finishing on time.",halo-moon-base-reuse-august-12,all,projects/artemis-tracker-665d8/messages/2065816261854761554
